Ma bao	 |Ten cong bo								|Tac gia   |Tap chi|Thoi gian
DTKHCN001|Cac chat uc che enzyme phan lap tu cay day lop bop			|NL01,Nl02 |DTKHCN |2021
DTKHCN002|Danh gia tac dong cua cao chiet methanol				|YD01	   |DTKHCN |2021
DTKHCN003|Giai phap cong nghe ung dung hydrate biogas				|DN03,DN04 |DTKHCN |2021
DTKHCN004|Thiet ke may ep vien nen nhien lieu RDF tu chat thai sinh hoat        |DN03      |DTKHCN |2021
DTKHCN005|Cong nghe nap va luu tru nang luong tren xe may dien			|DN03,BK04 |DTKHCN |2021
DTKHCN006|Power flow incorporating cost-based droop control			|BK05	   |DTKHCN |2020
DTKHCN007|Du doan luc can cho mo hinh tau KVLCC2				|HH01	   |DTKHCN |2020
DTKHCN008|Nhan dang su co tren luoi dien phan phoi dua tren TNTT		|BK06,BK07 |DTKHCN |2020
TCKTDB001|Danh gia tac dong kinh te - xa hoi VTV quoc gia Nui Luot		|DN05	   |TCKTDB |2019	
TCCSSK001|San xuat nong nghiep ung dung cong nghe cao o An Do			|NL03      |TCCSSK |2019
KHCNLN001|Tac dong cua chuong trinh phat trien nong thon			|NL05	   |KHCNLN |2017
KHCNLN002|Thuc hien chinh sach Bao hiem xa hoi, bao hiem y te			|NL05	   |KHCNLN |2017
TCADCA001|Vai tro cua nha nuoc trong phat trien nong nghiep, nong thon		|NL04	   |TCADCA |2018
