Ma TG |Ho dem		|Ten	|Noi cong tac|Linh vuc nghien cuu	 |Trinh do
AU01|Nguyen Ngoc|Chinh|DHNN|Ngon ngu hoc va van hoc|PGS TS,	
AU02|Nguyen Thi Quynh|Hoa|DHNN|Ngon ngu Anh va Dich thuat|PGS TS,
AU03|Luu Quy|Khuong|DHNN|Ngon ngu hoc va van hoc|PGS TS,
AU04|Dinh Thanh|Viet|DHDN|Ky thuat dien|PGS TS,
AU05|Doan Quang|Vinh|DHDN|Ky thuat dien - Tu dong|PGS TS,
AU06|Bui Van|Ga|DHDN|Ky thuat co khi|GS TSKH,
AU07|Truong Le Bich|Tram|DHDN|Ky thuat hoa hoc|TS,
AU08|Chu Thi|Thu|DHDN|Kinh te hoc|TS,
AU09|Le Kim|Hung|DHBK|Ky thuat dien|GS TS,
AU10|Truong Hoai|Chinh|DHBK|Ky thuat dan dung|PGS TS,
AU11|Tran Van|Quang|DHBK|Ky thuat moi truong|PGS TS,
AU12|Bui Thi Minh|Tu|DHBK|Ky thuat dien|PGS TS,
AU13|Pham Nang|Van|DHBK|Ky thuat dien tu|THS,
AU14|Nguyen Quoc|Minh|DHBK|Ky thuat dien tu|TS,
AU15|Le Thi Minh|Chau|DHBK|Ky thuat dien|TS,
AU16|Vo Van|Minh|DHSP|Sinh hoc moi truong|PGS TS,
AU17|Nguyen Phi|Hung|DNNL|Hoa hoc hop chat|TS,
AU18|Giang Thi Kim|Lien|DHNL|Khoa hoc Tu nhien|PGS TS,
AU19|Vu Thi Thuy|Hang|DHNL|Nong nghiep va moi truong|TS,
AU20|Nguyen Nhu|Bang|DHNL|Nong nghiep va moi truong|TS,
AU21|Dang Thi|Hoa|DHLN|Nong nghiep va moi truong|TS,
AU22|Bui Thi Kim|Ly|DHYD|Khoa hoc Y - Duoc|TS,
AU23|Nguyen Thi Ha|Phuong|DHHH|Ky thuat co khi|THS,
